ID,Teff,e_Teff,Plx,e_Plx,distance,e_distance,e_Plx_relative,R_all_det,e_R_all_det,Z_all_det,R_J_MC,e_R_J_MC,R_H_MC,e_R_H_MC,R_K_MC,e_R_K_MC,R_IR,e_R_IR,R_IR_median,R_IR_p16,R_IR_p84,Z_IR,R_A,e_R_A,delta_R_all_det,delta_R_IR
WASP-048,6000,150,2.164,0.0104,462.1072088724584,2.2208479539156967,0.4805914972273567,1.7855889163681806,0.037596033213806355,4.2075417029794675,1.7843525691077444,0.052578402224729065,1.73013683981256,0.038243687475649824,1.723068570328517,0.030649717482174824,1.745852659749607,0.0497143455014072,1.7386190551041107,1.6997852677173761,1.7930810259916405,3.1851666247458623,1.519,0.051,0.2665889163681807,0.226852659749607
WASP-049,5600,150,5.132,0.0158,194.85580670303978,0.5999068094130999,0.30787217459080285,1.0114245553386212,0.022273257245693293,-0.6033491527486171,1.0155822389218458,0.03333977106331799,1.0185869299460086,0.022316833673611786,1.0073651344337338,0.018451447909352582,1.013844767767196,0.025931975943519606,1.0126977507971604,0.9896321398861245,1.0380597254912065,-0.5250557609475074,1.038,0.038,-0.026575444661378844,-0.024155232232804025
WASP-050,5518,42,5.487,0.0174,182.2489520685256,0.5779354412233177,0.3171131765992345,0.8512258633768119,0.006221544206771166,-0.18877583843480897,0.8503610114387277,0.011864025163535507,0.8641533488731722,0.010242393614639059,0.8540803101975838,0.009473306877673865,0.8561982235031612,0.012072405423325779,0.8562241904135464,0.844245601407821,0.8682072485545683,0.053228467995343684,0.855,0.019,-0.0037741366231880402,0.0011982235031612332
WASP-052,5000,100,5.726,0.0134,174.64198393293748,0.408697622197234,0.23402025847013624,0.8826733886377611,0.014954736334453267,4.414152885664584,0.8471875974704075,0.02381187606728421,0.8300230685696924,0.015891501153681535,0.8230330302452469,0.013876058926016697,0.8334145654284488,0.02098418469535099,0.8309104812629311,0.8135520844365036,0.8534044957808579,1.7968107943466545,0.786,0.016,0.09667338863776109,0.047414565428448796
WASP-053,4950,60,4.985,0.0113,200.6018054162487,0.45472425299972125,0.22668004012036105,0.8401378323101402,0.009363206290452794,1.6968595986650221,0.8277789260853702,0.01685260540292147,0.8413905531910574,0.01138190264055145,0.8253204194296839,0.010900910811511427,0.8314966329020371,0.015079942421434981,0.83146408204094,0.8164584188621467,0.8466342103242867,1.217934842484123,0.798,0.023,0.04213783231014012,0.03349663290203708
WASP-054,6296,40,3.986,0.02,250.87807325639739,1.2587961528168459,0.5017561465127948,1.614018097883963,0.010079193892218454,-2.337157215163704,1.6409632970554937,0.02128325007594171,1.6625680891664525,0.022871440770177456,1.6835748350779687,0.02056529310792674,1.6623687404333052,0.027730122060048,1.6625268587861164,1.6339205881385446,1.6906440668318035,-1.7410810257879246,1.828,0.091,-0.21398190211603696,-0.1656312595666949
WASP-055,6070,53,3.419,0.0204,292.4831822170225,1.7451468023478385,0.596665691722726,1.020260250883354,0.008703396406909697,-3.5957826465669136,1.0352164395384564,0.017127288616290516,1.0827340035606463,0.014257935010780208,1.0673040413923656,0.014316321124580193,1.0617514948304894,0.025011915710708064,1.0647741609316772,1.0338162294353168,1.0866189949745981,-1.2323946228086846,1.102,0.021,-0.08173974911664605,-0.04024850516951073
WASP-056,5600,100,3.047,0.0162,328.1916639317361,1.7448982460433622,0.5316704955694125,1.2087989770366658,0.018768824180240465,3.0186825670056527,1.212766630583792,0.028321896853989594,1.1905332320110893,0.019594978683417388,1.1777966126796975,0.017206502730020307,1.1936988250915261,0.026511389894063833,1.1906489683785968,1.1684749833293526,1.2191487289290626,2.200172346188569,1.112,0.026,0.09679897703666573,0.08169882509152604
WASP-057,5600,100,2.468,0.0162,405.1863857374392,2.6596513164288957,0.6564019448946515,1.112179089575316,0.017244773254405762,4.973366411859753,1.0679043045444827,0.025916799745394903,1.0709567848118349,0.018697535494209782,1.0519863276811794,0.01794835962507291,1.0636158056791656,0.022736646372424722,1.0628188029161167,1.0413341422351252,1.0858106895099648,3.4090568982741165,0.927,0.033,0.18517908957531604,0.13661580567916554
WASP-058,5800,150,3.396,0.0112,294.4640753828033,0.9711418269397516,0.32979976442873965,1.1940179164066138,0.026157879916186663,0.18112299598768455,1.1884093936907647,0.03774843230398027,1.1688021412107696,0.026465270012837255,1.169314473034958,0.020688434510495294,1.1755086693121641,0.030566748561998276,1.1731377650007726,1.1469181093171177,1.2035878642603206,0.04124946786388854,1.17,0.13,0.02401791640661388,0.005508669312164205
WASP-059,4650,150,8.618,0.014,116.03620329542817,0.18850160665305107,0.16245068461359946,0.646960657202204,0.017768477106654468,0.7156802148403234,0.6684769679904328,0.030752448837867177,0.6697049777580816,0.01796543048137786,0.67690482244446,0.015152757362045846,0.6716955893976583,0.02265270794636869,0.6716385460883033,0.6513390341259846,0.6918827250164047,1.1860369061535287,0.613,0.044,0.03396065720220398,0.05869558939765829
WASP-060,6105,50,2.324,0.0194,430.2925989672978,3.591943382085017,0.8347676419965577,1.3323805691508142,0.011314954860830832,-1.024738241842182,1.381483168783759,0.021857587142014086,1.4390789782256368,0.024231631659711202,1.4323937783876606,0.019304055078611784,1.4176519751323517,0.033774560067839465,1.4217193945375224,1.3795563578970527,1.450984001508707,0.22460215060418465,1.401,0.066,-0.06861943084918587,0.016651975132351726
WASP-061,6250,150,2.065,0.0094,484.26150121065376,2.2043864946150826,0.45520581113801456,1.3432927566166557,0.02808962666796322,-1.1364907992380846,1.3638591336420005,0.038570411077699374,1.344415859831035,0.025124884590057784,1.3167758012709485,0.02430200924537532,1.3416835982479949,0.03572580180686393,1.338789689236754,1.3071314593849446,1.3758767778075291,-1.0356950929660682,1.39,0.03,-0.0467072433833442,-0.04831640175200502
WASP-062,6230,80,5.691,0.0113,175.71604287471447,0.348900243276098,0.19855912844842732,1.2328753249985929,0.012904634913875212,-0.9125888608277541,1.2112490601276757,0.021104563576836616,1.2399919694687571,0.017244620783172186,1.2351044863323424,0.015148383084184291,1.228781838642925,0.021948767913227817,1.2305707948545426,1.2067437244948271,1.2499977578658803,-0.9379690010525177,1.28,0.05,-0.04712467500140716,-0.05121816135707502
WASP-063,5715,60,3.461,0.0118,288.93383415197917,0.9850965741096083,0.34094192429933545,1.6725077574793754,0.015405929509573391,-2.0507288648786015,1.6878541946574053,0.02807375433901847,1.7480890224416616,0.021853410903035997,1.728343315355427,0.02071535739958113,1.721428844151498,0.03454762539179344,1.7252158757461775,1.6848334686626876,1.7552176438391722,-1.4987889919881705,1.88,0.1,-0.20749224252062448,-0.1585711558485019
WASP-064,5550,150,2.772,0.0102,360.7503607503608,1.3274363923714576,0.367965367965368,1.1072342231668744,0.024972777428491705,1.3933125070766383,1.0783341264833093,0.03595906312563313,1.0580014158651816,0.02273674588919006,1.0731889397449603,0.0197204147837016,1.0698414940311505,0.02841529573744003,1.0686201872971903,1.042864490560979,1.0957566933401646,0.31287433759497146,1.058,0.025,0.049234223166874314,0.011841494031150424
WASP-065,5600,100,3.636,0.0202,275.027502750275,1.527930570834861,0.5555555555555556,1.1137036990741822,0.017739411105295977,1.9546959665446773,1.1217617966327673,0.026747649857988255,1.0758668158297788,0.021454209630114712,1.0778167447168086,0.016495866432559646,1.0918151190597851,0.030522604904963346,1.086681563157606,1.0631808576307022,1.1238525137934474,1.3966364624209746,1.01,0.05,0.1037036990741822,0.08181511905978511
