ID,log(g),e_,[Fe/H],e_,Teff [K],e_,E(B-V),Plx [mas],e_,mBT [mag],e_,mVT [mag],e_,mG [mag],e_,mBP [mag],e_,mRP [mag],e_,mJ [mag],e_,mH [mag],e_,mK [mag],e_,BC_BT [mag],e_,BC_VT [mag],e_,BC_G [mag],e_,BC_BP [mag],e_,BC_RP [mag],e_,BC_J [mag],e_,BC_H [mag],e_,BC_K [mag],e_,R_star_old [solar ray],e_,R_exo_old [solar ray],e_
WASP-057,4.452,0.025,-0.25,0.1,5600,100,0,2.468,0.0162,11.43,0.089,10.325,0.054,12.721,0.002767,13.072,0.002892,12.206,0.00381,11.625,0.024,11.292,0.024,11.244,0.026,-0.922,0.060,-0.173,0.021,0.056,0.010,-0.289,0.024,0.56,0.012,1.153,0.034,1.479,0.051,1.566,0.055,0.927,0.033,1.05,0.053
WASP-058,4.27,0.09,-0.45,0.09,5800,150,0,3.396,0.0112,12.46,0.164,11.727,0.121,11.631,0.002761,11.925,0.002907,11.165,0.0038,10.626,0.03,10.364,0.033,10.285,0.02,-0.791,0.081,-0.15,0.025,0.056,0.009,-0.251,0.031,0.524,0.020,1.075,0.056,1.372,0.083,1.45,0.088,1.17,0.13,1.37,0.2
WASP-059,4.72,0.06,-0.15,0.11,4650,150,0,8.618,0.014,11.575,0.07,11.009,0.069,12.302,0.002762,13.022,0.002875,11.482,0.003795,10.44,0.02,9.878,0.023,9.723,0.018,-1.745,0.171,-0.575,0.103,-0.125,0.050,-0.688,0.094,0.566,0.017,1.452,0.039,2.009,0.080,2.139,0.088,0.613,0.044,0.775,0.068
WASP-060,4.235,0.041,0.26,0.07,6105,50,0,2.324,0.0194,13.568,0.41,11.839,0.177,12.01,0.002761,12.358,0.00285,11.498,0.003799,10.964,0.023,10.656,0.03,10.585,0.021,-0.702,0.024,-0.059,0.008,0.113,0.006,-0.169,0.009,0.545,0.009,1.01,0.017,1.23,0.024,1.311,0.025,1.401,0.066,1.225,0.069
WASP-061,4.256,0.013,-0.1,0.12,6250,150,0,2.065,0.0094,12.896,0.19,12.53,0.168,12.061,0.002763,12.311,0.002815,11.657,0.003788,11.219,0.028,11.034,0.024,11.008,0.026,-0.615,0.066,-0.073,0.018,0.088,0.008,-0.165,0.023,0.492,0.026,0.939,0.056,1.154,0.079,1.225,0.083,1.39,0.03,1.22,0.03
WASP-062,4.316,0.025,0.04,0.06,6230,80,0,5.691,0.0113,10.841,0.046,10.274,0.038,10.077,0.002769,10.336,0.002809,9.658,0.0038,9.272,0.024,9.008,0.024,8.944,0.021,-0.632,0.030,-0.064,0.009,0.098,0.005,-0.161,0.011,0.508,0.012,0.955,0.026,1.167,0.036,1.24,0.037,1.28,0.05,1.39,0.06
WASP-063,4.01,0.04,0.28,0.05,5715,60,0,3.461,0.0118,11.865,0.086,11.222,0.078,10.919,0.002761,11.289,0.002824,10.384,0.003795,9.818,0.024,9.463,0.021,9.393,0.021,-0.911,0.033,-0.119,0.011,0.095,0.005,-0.248,0.013,0.59,0.006,1.142,0.018,1.421,0.026,1.516,0.028,1.88,0.1,1.43,0.1
WASP-064,4.392,0.016,-0.08,0.11,5550,150,0,2.772,0.0102,12.517,0.186,11.353,0.086,12.518,0.002781,12.883,0.003105,11.988,0.003893,11.368,0.022,11.079,0.024,10.956,0.019,-0.973,0.091,-0.174,0.034,0.06,0.015,-0.298,0.038,0.576,0.014,1.178,0.047,1.507,0.075,1.598,0.080,1.058,0.025,1.271,0.039
WASP-065,4.4,0.02,-0.07,0.07,5600,100,0,3.636,0.0202,12.376,0.225,12.437,0.276,11.745,0.002784,12.082,0.002896,11.242,0.003823,10.669,0.022,10.44,0.032,10.346,0.021,-0.943,0.059,-0.163,0.021,0.065,0.009,-0.285,0.024,0.573,0.010,1.162,0.032,1.481,0.049,1.571,0.053,1.01,0.05,1.112,0.059
WASP-066,4.06,0.04,-0.31,0.1,6600,150,0,1.996,0.0313,12.073,0.105,11.652,0.109,11.589,0.002772,11.831,0.002842,11.184,0.003806,10.719,0.022,10.496,0.024,10.452,0.022,-0.485,0.046,-0.06,0.015,0.073,0.008,-0.136,0.017,0.421,0.026,0.808,0.054,0.98,0.076,1.044,0.078,1.75,0.09,1.39,0.09
WASP-067,4.533,0.016,0.18,0.06,5417,85,0,5.272,0.0123,12.965,0.293,12.58,0.257,11.909,0.002766,12.362,0.002973,11.295,0.003826,10.608,0.026,10.214,0.023,10.129,0.021,-1.104,0.060,-0.199,0.024,0.059,0.011,-0.334,0.026,0.604,0.006,1.235,0.027,1.577,0.044,1.68,0.048,0.817,0.022,1.091,0.046
WASP-068,4.09,0.13,0.22,0.08,5910,60,0,4.347,0.0144,11.492,0.072,10.75,0.062,10.411,0.00276,10.759,0.002809,9.898,0.003787,9.341,0.023,9.042,0.024,8.948,0.022,-0.792,0.034,-0.088,0.011,0.103,0.006,-0.206,0.012,0.565,0.010,1.074,0.021,1.324,0.030,1.41,0.032,1.69,0.11,1.24,0.1
WASP-069,4.535,0.023,0.15,0.08,4700,50,0,19.886,0.017,11.226,0.064,9.991,0.034,9.492,0.002784,10.03,0.003068,8.808,0.003901,8.032,0.023,7.543,0.023,7.459,0.024,-1.749,0.061,-0.538,0.035,-0.103,0.016,-0.66,0.031,0.584,0.006,1.449,0.014,1.976,0.028,2.112,0.031,0.813,0.028,1.057,0.047
WASP-070,4.29,0.055,0.21,0.02,5864,25,0,4.337,0.0263,11.998,0.127,10.892,0.076,11.032,0.002768,11.359,0.002864,10.538,0.003799,9.996,0.035,9.714,0.044,9.58,0.03,-0.821,0.015,-0.098,0.005,0.1,0.002,-0.217,0.006,0.569,0.003,1.089,0.009,1.348,0.013,1.435,0.014,1.251,0.079,1.186,0.088
WASP-071,3.92,0.05,0.37,0.04,6180,52,0,2.816,0.0265,11.545,0.114,10.649,0.085,10.569,0.002791,10.87,0.002828,10.11,0.003794,9.636,0.022,9.416,0.022,9.32,0.023,-0.669,0.029,-0.037,0.008,0.126,0.003,-0.149,0.010,0.546,0.009,0.992,0.020,1.192,0.028,1.275,0.030,2.26,0.17,1.46,0.13
